Группа,Токен,Тёмная,Светлая,Где используется
Цвет,bg,#15161A,#F4F5F8,Фон окна и боковых списков. Основа всего интерфейса.
Цвет,surface,#1D1F25,#FFFFFF,"Карточки, панель редактора, строки списков, всплывающие окна (трей-меню, предпросмотр)."
Цвет,surface-2,#262932,#ECEEF3,"Приподнятые элементы на `surface`: наведение на строку, поля ввода, выбранный пункт списка, трек выключенного переключателя."
Цвет,surface-3,#2F333D,#E1E4EB,Нажатое состояние строк и вторичных кнопок; активная вкладка.
Цвет,border,#30333D,#D9DCE3,"Разделители, контуры карточек и окон. Декоративный — смысла не несёт."
Цвет,border-strong,#707582,#7A7F8B,"Контур у элементов управления: чекбокс, поле, выключенный переключатель. Не меньше 3:1 к `surface` в обеих темах."
Цвет,text,#ECEDEF,#17181C,"Основной текст на `bg`, `surface`, `surface-2`."
Цвет,text-2,#8D919C,#5B606C,"Подписи, состав группы, «запущено», заголовки окон в предпросмотре. ≥4.5:1 на `bg`, `surface`, `surface-2`."
Цвет,text-3,#5E626D,#9A9EA8,Только недоступное: выключенные кнопки и переключатели. Не для читаемого текста.
Цвет,accent,#7C8CFF,#4A5BE0,"Фирменный акцент: фокус, выбранные карточки, ссылки, «Умно» по умолчанию, лого."
Цвет,accent-soft,#7C8CFF24,#4A5BE01A,"Заливка выбранного элемента под `accent`-контуром: карточка режима, пункт списка."
Цвет,on-accent,#0E0F13,#FFFFFF,Текст и значок на заливке `accent`.
Цвет,focus,{accent},{accent},Кольцо фокуса 2px с отступом 2px вокруг любого интерактивного элемента.
Цвет,danger,#FF6B6B,#C22F2F,"Опасные действия: «Жёстко», «Удалить», «Сбросить всё», «не закрылось». Текст и контур."
Цвет,danger-soft,#FF6B6B1F,#C22F2F14,Заливка под опасной карточкой и строкой ошибки в итоге.
Цвет,success,#57D68D,#1A7743,"Итог «закрыто», «запуск работает». Всегда рядом со словом или галочкой."
Цвет,warning,#FFC857,#8A5A00,"Конфликт горячей клавиши, «ждёт сохранения». Всегда со значком `warning`."
Цвет,warning-soft,#FFC8571F,#8A5A0014,Заливка плашки-предупреждения.
Цвет,on-preset,#0E0F13,#0E0F13,Значок и текст на любой заливке цветом пресета (≥6.4:1 на всех восьми).
Цвет,preset-green,#57D68D,#57D68D,"Цвет пресета №1 («Игра» по умолчанию). Квадрат пресета, кнопка «Включить»."
Цвет,preset-red,#FF6B6B,#FF6B6B,Цвет пресета №2. Только как цвет пресета — не путать с `danger`.
Цвет,preset-yellow,#FFC857,#FFC857,Цвет пресета №3.
Цвет,preset-blue,#7C8CFF,#7C8CFF,Цвет пресета №4 («Учёба» по умолчанию).
Цвет,preset-orange,#FF9F43,#FF9F43,Цвет пресета №5.
Цвет,preset-purple,#C38BFF,#C38BFF,Цвет пресета №6 («Код» по умолчанию).
Цвет,preset-cyan,#4FD1E8,#4FD1E8,Цвет пресета №7.
Цвет,preset-gray,#9AA0A6,#9AA0A6,"Цвет пресета №8, нейтральный."
Цвет,scrollbar,#3A3E49,#C6CAD3,Ползунок скроллбара в покое.
Цвет,scrollbar-hover,#555A66,#9EA3AE,Ползунок при наведении и перетаскивании.
Цвет,taskbar-dark,#202020,#202020,Эталон тёмной панели задач Windows 11 — фон для проверки значка в трее.
Цвет,taskbar-light,#F3F3F3,#F3F3F3,Эталон светлой панели задач Windows 11.
Шрифт,title,22px/28px 600 (display),,"Название пресета в шапке редактора, заголовок вкладки."
Шрифт,subtitle,15px/20px 600 (display),,"Заголовки блоков: «Что оставить и что запустить», «Как закрывать»."
Шрифт,body,14px/20px 400 (sans),,"Основной текст, названия в строках, пункты меню."
Шрифт,body-strong,14px/20px 600 (sans),,"Кнопки, выбранный пункт списка, название программы в карточке."
Шрифт,caption,12.5px/16px 400 (sans),,"Подписи под названиями: состав группы, «запущено», заголовок окна."
Шрифт,label,11px/14px 600 (sans),,"Надписи над списками: ГРУППЫ, ПРИЛОЖЕНИЯ, ЗАКРОЕТСЯ (5)."
Шрифт,mono,13px/18px 400 (mono),,Правила распознавания и пути запуска в карточке приложения.
Шрифт,hotkey,12px/16px 500 (mono),,"Горячие клавиши в списке пресетов, трее и поле записи."
Отступ,space-1,4px,,"Зазор между значком и подписью в чипе, между строками правил."
Отступ,space-2,8px,,"Зазор внутри строки, между кнопками в группе, отступ пункта меню."
Отступ,space-3,12px,,Внутренний отступ строки списка и поля; зазор между строками-карточками.
Отступ,space-4,16px,,"Отступ карточки, зазор между блоками внутри редактора."
Отступ,space-5,20px,,"Отступ всплывающих окон (предпросмотр, уведомление)."
Отступ,space-6,24px,,Поля панели редактора и между крупными блоками.
Отступ,space-8,32px,,Отбивка шапки редактора от содержимого.
Радиус,radius-xs,4px,,"Чекбокс, чипы-клавиши горячих клавиш, скроллбар."
Радиус,radius-sm,8px,,"Кнопки, поля, строки списка, чипы, пункты меню."
Радиус,radius-md,12px,,"Карточки: режим закрытия, карточка приложения, плашки."
Радиус,radius-lg,14px,,"Всплывающие окна: предпросмотр, трей-меню, уведомление; большой значок пресета."
Радиус,radius-full,999px,,"Трек и ручка переключателя, точка статуса."
Размер,control-h,32px,,"Высота кнопок, полей и чипов-фильтров."
Размер,row-h,48px,,Высота строки группы/приложения в редакторе.
Размер,list-item-h,44px,,Высота пункта в левом списке пресетов/приложений/групп.
Размер,app-icon,24px,,Иконка программы из exe в строке. В карточке приложения — 40px.
Размер,preset-tile,28px,,Цветной квадрат пресета в списке; в шапке редактора — 56px.
Размер,sidebar-w,260px,,Ширина левого списка в главном окне.
Размер,window-min-w,900px,,Минимальная ширина главного окна (мин. 900×560).
Размер,window-default-w,1120px,,Ширина главного окна по умолчанию (1120×760).
Размер,preview-w,560px,,"Окно предпросмотра, 560×640, поверх всех окон."
Длительность,duration-fast,120ms,,"Наведение, смена цвета переключателя."
Длительность,duration-base,180ms,,Fade/slide всплывающих окон и смена вкладок. Easing: ease-out.
Тень,shadow-popup,"0 12px 32px rgba(0,0,0,0.45), 0 0 0 1px #30333D","0 12px 32px rgba(20,24,40,0.16), 0 0 0 1px #D9DCE3","Трей-меню, окно предпросмотра, выпадающие списки."
